,name,description
2115,pasanga 2,deals with the lives of few urban kids with attention deficit hyperactivity disorder (adhd).
2117,enakkul oruvan,"a man suffering from insomnia is tricked into buying a drug, lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality."
2120,maya,"a woman takes on the challenge of watching a horror film, alone in a theatre."
2124,bale pandiya,bale pandiya (sivaji ganesan) is a young man who leads a troubled life. he is continuously being chased by marudhu (also sivaji ganesan) - a look-alike of him and marudhu's boss kabali (m. ...
2125,en manaivi,suspicion and mistaken identity blend well into this plot line; first pair is dr. vembu iyer (
2126,crayon,adam and rafaat are room-mates studying in a prestigious university in singapore. adam an asean scholar is a chinese malaysian over achiever and rafaat is a malay singaporean who's an it ...
2128,nooravathunaal,a psychopath abducts young women and kills them.
2130,aval oru thodar kathai,"kavitha, a young woman, is the sole bread winner for her family. in order to fulfill their dreams and ambitions, she puts herself through the daily grind of working in an office maintaining..."
2131,yaar nee,"a doctor , through a series of mysterious and unfortunate incidents, is inclined to believe that in his past life he was in love with a woman and her ghost is now haunting him, wanting to ..."
2133,pichaikkaran,"a rich man becomes a beggar for 48 days in order to save his mother, the life of whom is at stake and can't be saved easily."
2135,mouna geethanagal,the story of a divorced husband eager to reunite with his ex-wife and son.
2137,goli soda,four adolescent boys fall prey of a baddie and things turn ugly.
2138,rajathandhiram,small-time criminals plan a big-time heist. will they be successful in their attempt ?
2139,7/g rainbow colony,a neighborhood good-for-nothing attempts to romance the new girl in town.
2140,ayitha ezhuthu,three men and their accidental meeting on napier bridge will change their lives forever.
2141,jeeva,"right from his childhood, the motherless jeeva grows with his focus fully on cricket. however, it is never smooth sailing for him with disruptions coming in various forms ranging from his love life to team selection politics."
2142,nanban,"10 years after finishing college, two best friends and their enemy go on a search for their third friend, while finding out some truths along the way."
2143,thulladha manamum thullum,"kutty wants to become a singer while working in an audio shop run by mani. his songs are appreciated by a college student rukmani and each time when she wishes to meet him, circumstances ..."
2148,minnale,a young girl is torn between an obsessive lover and a mild-mannered suitor.
2150,navarathri,navarathri traces nalina's (savitri) experience of nine emotions on nine consecutive nights.
2151,oru modhal oru kadhal,"oru modhal oru kadhal is a story of a guy (vivek rajgopal), who falls in love with a girl, and their trouble-filled journey from chennai to bangalore to delhi giving troubles to his friends and family portrayed hilariously."
2154,moodar koodam,"four penniless, down-and-out youngsters plan to rob the house of a wealthy businessman believing that the family is out on a pilgrimage. but when they break into the house, nothing goes as ..."
2156,navarasa,"swetha, 13, discovers that her uncle gautham dresses as a woman once night has fallen. intrigued, she asks him about him, and he confesses her that his dream would be to escape to koovagam,..."
2160,veyyil,story of two brothers told from the perspective of older brother who recalls his childhood memories where he runs away from home and returns after 20 years. the rest of the film is all ...
2161,karnan,brave and loyal warrior-archer karna joins the kauravas to battle the pandavas in the kurukshetra.
2162,nila,a tale of unrequited love and unexplored desires. a young man meets his childhood love one rainy night in the city of dreams. when they both realise that the desire for more can ruin what ...
2163,ulagam sutrum valiban,mgr prances the world trying to find a secret energy formula before villains do.
2164,thavamai thavamiruntu,"the film sensitively portrays the struggles of a father whose main priority in life is the well being of his children, and who is determined to see his children grow up to become decent, successful persons."
2165,naadodigal,"three friends decide to do whatever it takes to unite one of their old friends with the girl he is in love with which gradually takes a turn for the worst, but strengthening their bond with each other nonetheless."
2166,annamalai,a class-divided friendship goes through highs and lows through several decades.
2167,pasanga,"the movie revolves around the life of anbukkarasu and jeevanandham, their rivalry and its consequences and their reunion during the 6th grade at local government school."
2168,angadi theru,the story on the lives of a salesgirl and sales boy of a popular saree store in chennai.
2169,eeram,"the movie depicts love, ego, hatred, jealousy, faith and all other aspects as the tale moves around the 3 characters - vasudevan, balakrishnan, and ramya."
2170,raja rani,newlyweds who hate each other come to terms with each other and their past.
2172,kandukondain kandukondain,"an indian adaptation of jane austen's ""sense and sensibility"" focusing on two sisters of opposing temperaments."
2174,aasai,the movie is about two young lovers
2175,mayakkam enna,"karthik and yamini can't stand each other, but there lies the twist when opposites attract."
2176,karma,imagine a perfect murder.
2177,poove unakkaga,a person who comes to unite two families so that he can join his lover with her lover
2178,kaadhalukku mariyaadai,"jeevanandhan ""jeeva"" (vijay) is a very rich young man. although his parents (sivakumar and srividhya) want him to settle down, he goes to another city to do his mba and stays with friends. ..."
2179,muthal mariyathai,a friendship between a middle-aged upper-caste man in a village and a boatman's daughter raises eyebrows.
2180,mundaasupatti,a photographer gets into trouble in a village where photography is banned.
2181,mudhal thedi,"sivagnanam (sivaji ganesan) works as a bank clerk. though his pay is meager, he deals with a lot of cash at the bank. his family consists of wife lakshmi (anjali devi), a daughter whose ..."
2182,nandha,"nandha kills his father in the confusion that follows when his mother discovers her husband's philandering. nandha is packed off to juvenile prison, leaving behind his deaf and dumb mother ..."
2183,mounam pesiyadhe,misogynist falls in love with comely co-ed.
2184,thedi vanda mappillai,the story of a man who strives to get his daughter married to his boss's son as per his last wish.
2189,kandan karunai,"the film revolves around lord murugan, his birth, marriage and his acceptance of the post of the head of the army of heaven."
2191,imsai arasan 23 m pulikesi,historical comedy about a dravidian ruler and his family.
2192,ratha kanneer,"the story revolves around mohanasundaram, a returned-from-abroad, westernized, rich man who shows arrogance and contempt towards anything part of indian culture and anyone below his social standards."
2193,marupakkam,"the film is inspired by a novel ""uchi veyyil"" written by indra parthasarathy. the film revolves around ambi, a young man in his early thirties. ambi arrives in kumbakonam from delhi to see ..."
2194,pudhu kavithai,musical extravaganza with story of of love / deceit and life after love fails.
2195,raman thediya seethai,"raman, one of the world's richest men, is looking for a bride."
2197,pudhiya paravai,"when a rich man in ooty falls in love with a woman he recently befriended, his presumed-dead wife returns home to tell him that she is still alive. he claims her to be a lookalike but no ..."
2200,moodupani,"a successful businessman develops a hatred towards women as a result of his troubled childhood, which involved the separation of his parents owing to his father's affection towards a prostitute."
2201,vere vazhi ille,"surya is an easygoing laidback guy who constantly switches jobs. one day, he accepts a job from his former employer at a security agency, who offers him rm3,000 for a 2-day and 1-night job ..."
2202,ullathai allitha,"raja is the son of the very strict and disciplinarian colonel chandrashekhar. raja's marriage is fixed with indu (rambha), the daughter of chandrashekar's friend, viswanathan. however, when..."
2204,autograph,follow senthil's life through vignettes of his past presented by the people he visits while distributing his marriage invitations. his love life is the aspect in prime focus -- while we are presented with nuggets of other development also.
2205,ilamai oonjal aadukirathu,best friends fall in love with the same woman.
2211,sharada,a psychiatrist visiting an village for a wedding turns out to be a deadringer for a former resident of the village.
2212,chettaniki kallu levu,"as a young boy, chiranjeevi sees the murder of his father and sister, but the killers are released because of lack of evidence. this enrages him and he is out to seek revenge in a way not ..."
2216,kurukshetramu,mahabharatha in a nutshell.
2218,poova thalaya,a goat and tiger game between a man and women.
2226,mahakavi kalidasu,chronicling the life of sanskrit poet kali.
2230,karunamayudu,a 160-minute version of the life of jesus christ filmed entirely with a cast and crew of christian indians in india.
2231,dk bose,a corrupt cops gets a shock of his life and has no other way but to change.
2232,onamalu,a feel good heart touching movie..must watch..!!!!
2233,chantabbai,a comedy about the famous (self-proclaimed) detective - james pond - as he tries to find the lost son of a famous industrialist
2237,aakali rajyam,a jobless philosophy graduate survives in the city of delhi
2238,swayam krushi,story of a cobbler who believes in hard work and righteousness.. this movie is about respecting the importance of manual labor.
2239,aditya 369,"a group of children use a time machine to investigate a robbery. the protagonist couple, in their attempt to rescue the kids, get stuck in the machine and travel all the way back to the ..."
2242,taskara,a mysterious hacker steals 10 trillion rupees from the central bank of his country.
2243,swarnakamalam,"a painter who recently moved into the neighborhood helps his neighbor, a retired cultural dance artist. he helps by painting billboards advertising events in which the artist and his ..."
2244,kumari 21f,an immature teenager doubts the virginity and loyalty of his overly outgoing girlfriend.
2245,tholi prema,"balu (pawan kalyan) falls in love with a girl at first sight but can't find a way to get to know her. he can't believe his luck when she approaches him, because her hobby is collecting the ..."
2246,shiva,"shiva is a new student in the community college. he is welcomed by a group of collegians, including the lovely asha, to whom shiva is instantly attracted. shiva notices that there is ..."
2255,bhakta prahlada,"the first sound film in telugu is a classic mythological drawn from the vishnu purana. prahlada, the son of the demon hiranyakashapu (subbaiah), defies his father and worships vishnu. he is..."
2256,nuvvu naaku nachchav,venkateswarlu aka venky comes hyderabad to his father's friend's house where he meets an engaged girl . things turn upside when she expresses her love for him .
2271,malapilla,this film tells of a harijan woman (kanchnmala) who falls in love with a brahmin nagaraju (gali venkateshwara rao) in a direct critique of exploitative brahmin rituals. the musical hit ...
2272,sivaranjani,a tragedy about the rise and fall of a film star.
2274,sri kalahastiswara mahatyam,follows the story of arjuna after he is reborn as kannappa and attains salvation.
2279,terror,"terror is the story of a sincere police officer called vijay. during one his investigations, vijay finds a small clue that a big attack is imminent. to his shock, he finds out that people ..."
2282,aha naa pellanta,krishnamurthy (rajendra prasad) is the only son of industrialist satyanarayana (nutan prasad). he wants his son to get married to a girl whom he has chosen because of his bitter experience ...
2286,maa bhoomi,the film depicts a typical life of villagers under feudalistic society in telangana region. the film follows the story of a young landless telangana peasant named ramaiah (sai chand) from ...
2288,sahasra siracheda apoorva chinthamani,an evil magician invokes a demon to gain great power and the demon advises the magician to reach princess chintamani of adityapuram and get power by using her beauty as an instrument. by ...
2290,21,"facebook fraud causes a young woman to commit suicide. her ghost keeps her facebook account active, and kills anyone who tries to friend her. she kills nineteen people before the ..."
2295,wish you happy breakup,"the story unfolds with 'someone' about to commit suicide after the girl he loves ditches him. as he prepares to kill himself, he receives a call from his friend who suggests watching a ..."
2298,kshanam,"rishi,an nri and ex-lover of swetha returns to india because she asks for help in search of her kidnapped daughter,where the believes doesn't exist.how did rishi find out the truth behind this scenario?"
2300,maharshi,"after a college student becomes obsessed with a co-ed, she and her husband attempt to heal him, with dangerous consequences."
2302,rudra veena,the story of a classical singer who believes in changing society through his music and will power.
2308,shri datta darshanam,"story of lord dattatreya and how he has benefited various disciples including vishnudatta, kartaveeryarjuna and indra"
2329,manavoori pandavulu,5 youngsters come together with help of krishnamraju to oppose their village sarpanch's cruel deeds. a movie made on the lines of mahabharatham without all the noise and shouting of a ...
2330,meera a bloody love story,"an unimaginable incident is faced by meera, and she does the most disgusting thing any human can ever do."
2334,gundamma katha,"gundamma, a rich widow tries to get her daughter married to a rich boy. she, however, treats her step daughter like a maid and does not care about her marriage. this is the story of how two..."
2335,#pellichoopulu,"this is an urban rom-com in a modern setting where tradition still has a strong hold. the story starts with the ""pellichoopulu"" or arranged meeting of prashanth (vijay deverakonda) and ..."
2344,karna,brave karna proves his bravery and loyalty but endures humiliation.
2358,mooga nomu,heroine gets pregnant before her marriage. she didn't want to reveal the father of that boy. movie is about finding who is the one behind that..
2363,srivari sobhanam,kiran(naresh) is a manager in a shop of electronics. staff members tease him for his shyness towards girls. to prove them wrong he urgently marries a girl (anitha reddy). but his ...
2365,rangula ratnam,"having become impoverished through circumstance, a rural family move to the city to start afresh. tragedy strikes when the father dies, leaving his wife (anjali devi) with two sons and a ..."
2366,swathi muthyam,"the story is of mentally slow man, whose life is recapped to his grand-daughter. how he meets his wife (who was a widow), earns his living and fights the injustice he and his wife face."
2367,drushyam,"rambabu (venkatesh daggubati), a cable operator, tries to protect his family from paying the price for their accidental crime."
2368,aa naluguru,its about a person who strongly believes in the philosophy that human relations are more important than money. heart touching screenplay.
2380,dream,dream is a journey into the mind of the protagonist. all the puzzles faced by the protagonist are experienced by the audience.
2382,mosagalaku mosagaadu,mosagallaku mosagadu is a sequel to the 2013 hit film - swamy ra ra. the film stars sudheer babu and nandini in the lead roles.
2386,swathi,the story of a strong willed girl trying to get her unmarried mother married.
2389,ososi rakasi,"the plot is no more than a will-they/won't-they, i hate you/i love you, odd-couple rom-com; it goes through all the emotions of a human's heart from sad to mad and glad."
2391,sri krishnarjuna yudham,"after vanquishing the army of the kauravas, the pandava brothers preside over indraprastha, and arjun takes a journey to worship lord shiva. it is during this journey that he will challenge..."
2393,ankuram,the story of a woman trying to return the child of a naxalite to him.
2394,prasthanam,"prasthanam is a poetic and intense character drama enacted by sharwanand, sai kumar and sundeep kishan. the movie is set in vijayawada with a contemporary political back drop. though it has..."
2398,manmadhudu,"abhiram is a manager in his own ad agency. he hates women and he feels that all women are traitors. abhirams uncle, who is the chairman of the ad agency, appoints harika as an assistant ..."
2415,missamma,"two unemployed college graduates from madras, rao and mary act as if they are a married couple to get a job as school teachers in a small village called appapuram. the story unfolds into an..."
2425,kanche,"a rivalry between two men, based on caste and social status, extends from an indian village onto war torn europe during ww2."
2431,bommarillu,"siddu is the son of an over-protective business man. every decision of his is made by his father, which leads him into frustration. he half-heartedly agrees to become engaged to a rich ..."
2442,gunasundari katha,loosely based on shakespeare's king lear.
2450,stri,a chance encounter on the boat! rangi and paddalu wheedle their way onto the boat much against the boatman's wishes. the next morning it is discovered that paddalu has made away with the ...
2452,padaharella vayasu,angara satyam is the producer of this movie
2454,tandra paparayudu,the story of an indian freedom fighter who fought the french even before the british could establish their authority in india
2463,minugurulu,"raju a 13 year old child passionate about films who always wanted to be a filmmaker become blind in an accident. drunkard and irresponsible father puts raju in a blind orphanage,claiming ..."
2467,aithe,irfan khan (pavan malhotra) is a key mafia affiliate in mumbai. khan is on the wanted list of criminals in hyderabad with a bounty of 50 lakhs. aiming to migrate to dubai so that he could ...
2469,daana veera soora karna,"abandoned at birth, brave and loyal karna grows up to acquire skills as a warrior to battle the pandavas."
2470,gamyam,"two guys, one a thief and the other filthy rich, meet each other in a journey started by the latter in search of his love."
2471,vedam,a terrorist threat puts five people in jeopardy.
2472,kshana kshanam,a high-profile bank robbery in the city wreaks havoc in the life of an unsuspecting regular young woman when she's caught in the line of fire between the villains and the police.
2473,manam,a series of reincarnations within a single family which spans across four generations.
2474,okkadu,a kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.
2476,unkahi,"story in 1969, a boy named mason, who was a student at x school of pakistan, he was confident and charming and he had a friend named vincent. they have been friends since their childhood. ..."
2477,jawani phir nahi ani,a single divorce lawyer takes his three married friends on a vacation to escape their wives.
2478,3 bahadur,"3 bahadur is the story of three extraordinary children who rise from the most unlikeliest of places and save their town from the evils plague it. equipped with courage and super powers,11 ..."
2479,mah e mir,"a modern poet jamal who is against the traditional urdu poetry reads the biography of mir taqi mir,one of the greatest poets of the 18th century. and sees mir's reflection on his personality."
2480,hijrat,hijrat is a love story that plays out in the foreground of an exodus that rendered millions homeless during the afghan war. it touches upon the lives of those whose spirits were broken by ...
2482,najma,"yusuf is the son of a prominent and respected doctor in this community, and is himself studying medicine to become a doctor. one day he meets with beautiful najma and both fall in love, and..."
2483,hotal,"the film's story revolves around an indian girl ""kashika"" who stays in a hotel, where she meets her sister, who was never born."
2487,a wedding,"zahira, 18, is close to her family until her parents ask her to follow pakistani tradition to choose a husband. torn between family customs and her western lifestyle, the young woman turns for help to her brother and confidant amir."
2489,zarqa,this movie is about palestinian liberation movement against israel.
2490,o21,a man (ayub khoso) after 30 years of war in afghanistan wants to save his country from another 50 years of corporate warfare. he works with his pakistani ally kashif siddiqui (shaan) to ...
2491,mughal-e-azam,"inspired by true events, a 16th century prince falls in love with a court dancer and battles with his emperor father."
2493,aksbandh,it is a story of five young filmmakers who suddenly disappear while shooting in the woods near drigh lake larakana in january 2014. a week later their camera was found containing details about what happened to them.
2494,moor,"after the death of the family's matriarch, her husband and son must confront not only the corruption in society around them but the corruption within themselves."
2495,anokha mehman (unique guest),a pakistani student is living in turkey for his education.
2496,jago hua savera,based on he daily lives of the fishermen of east bengal.
2497,dance kahani,"""with her dream of pursuing a professional dance career shattered, nizzy, an upscale british pakistani, must now fight the odds to keep it alive in a society she never wanted to be a part of."""
2498,manto,"a story of a 20th-century writer ""manto"", who grew-up in the showbiz industry of bombay (now mumbai) and lahore. it focuses the last seven years of writers life during which he wrote some ..."
2499,shah,"the film is based on the journey of pakistani olympian boxer hussain shah who started his life on the streets of lyari, karachi as a homeless child and went on to dominate asian boxing for ..."
2501,abdullah: the final witness,"the film is about the incident where five russian citizens alleged to be suicide bombers were killed in frontier constabulary (fc), at the kharotabad check post."
2502,bachaana,"a bubbly indian girl aalia in trouble is forced by circumstances to place her faith in a pakistani cab driver, vicky, in mauritius, who then takes it upon himself to make aalia's safe return to india possible. mauritius."
2503,ustadon ke ustad,an impoverished engineer in love with a wealthy woman goes on the run after becoming a suspect in a bank robbery.
2504,papi,"on the run from the police, an atheist masquerades as a religious icon."
2506,devar,a wealthy male starts to self-destruct after he finds that his childhood sweetheart is now his sister-in-law.
2508,sargam,a rich singer falls in love with a village girl and faces disapproval from all quarters.
2509,swaarangi,salma (resham) is not happy with her husband jamal (naveed akbar) due to his drug addiction. zaryaab (waseem manzoor) tries to keep jamal in this habit because he sets some goals for ...
2510,farz aur mohobbat alias navsherwan-e-adil,"a fair-minded emperor improves and introduces new laws, but ends up facing challenges when his son violates them."
2512,zindagi kitni haseen hay,it's the story of a young couple struggling with challenges of life. both are aggressive and follow their own thoughts which affect their relationship. their reunion becomes complicated gradually.
2514,mirza ghalib,"this movie depicts the life of once wealthy poet and nobleman mirza ghalib. this story portrays his trials, tribulations, triumphs, and utlimate descent to poverty, and then to prison; and ..."
2516,chambaili,a group of friends are led by circumstances to find themselves at the crossroads of fate.
2517,humayun,"badshah babar arrives in india from iran, drives out ibrahim lodhi, makes peace with the hindus and rules delhi. he also adopts rajkumari as his daughter and treats like his very own child,..."
2518,na maloom afraad,"na maloom afraad is a story of three reckless poor struggling souls, running after their individual ambitions and desires, brought together by one incident which makes their not so simple ..."
2519,revenge of the worthless,a film depicting the brutally disfigured cultural narrative of a land with the most enviable cultural heritage highlighting the heroic struggle of a few unsung heroes during 2009 swat insurgency.
2520,umrao jaan,"in faizabad, british india, daroga dilawar is sentenced to several years in prison after amiran's dad testifies against him. after his discharge around 1840, he extracts his vengeance by ..."
2523,zeenat,a disgraced widow is forced to work as a maid for her fatherless child.
2526,yeh aman,"a film about the indian government's atrocities in the indian occupied valley of kashmir, and the kashmiri struggle for independence."
2527,anhonee,an impoverished advocate faces challenges after he falls in love with a wealthy woman who has a look-alike courtesan sister.
2529,abhilasha,a soon-to-be-married army officer faces rejection after he finds he was adopted as a child.
2530,mayurpankh,an engaged england-based caucasian author falls in love with an indian.
2531,pakeezah,"the story of a prostitute, with a pure heart (pakeezah), and grand dreams..."
2534,pukar,"a love affair and two feuding families who play out a romeo and juliet type drama in 17th century india, under the emperor jehangir."
2535,taj mahal,"it was at the meena bazar that shehzada khurram first laid eyes on arjuman banu. when their eyes met it was love at first sight for both of them. when queen noor jehan, one of the wives of ..."
2537,criminal hunter,story of an undercover cop who is out to hunt down the criminals and terrorists.
2542,local kung fu,"local kung fu's plot revolves around charlie, ""an ordinary boy from guwahati with a delicate stomach"", his girlfriend and a number of madcap characters such as a wannabe local don and a thief who is rumoured to roam naked."
2543,rowd,a young guy's past collides with his present.
2544,bokul,thirty-year-old raktim comes back to his town to attend his sister's wedding and is struck by the changes that the place has gone through during his absence of five years. he also realizes ...
2549,kothanodi,"four folk tales from assam re-imagined as a narrative about four mothers, each facing demons of her own."
2550,darmiyaan: in between,"the saga of mazhuddin khan alias immi, born in 1939 in bombay, british india, as a eunuch, whose mother, zeenat, in denial that she has sired him, refers to him as her younger brother. she ..."
2551,konikar ramdhenu,konikar ramdhenu is an assamese language film directed by jahnu barua. it was released in 2003. the film was shown in indian panorama section of iffi during october 2002 in delhi and mumbai...
2553,halodhia choraye baodhan khai,halodhia choraye baodhan khai (assamese: english subtitle: the catastrophe) is a 1987 assamese film of social genre made by director jahnu barua...
2554,baandhon,"dandeswar and hkawni, both age 73, arrive in mumbai to look for their beloved grandson - the only other living member of the family who has been missing since the 26/11 2008 terror attack."
2555,tulsidas,sage tulsidas faces challenges when he attempts to translate the holy ramayan.
2556,bheegi raat,a spurned vengeance-seeking woman wreaks havoc in the life of an artiste and his lover.
2557,samarat prithviraj chauvan,"samrat prithviraj chauhan first humbles the mughals, elopes with a princess who loves him, then faces war and treachery."
2558,adi shankaracharya,the first and only indian movie to be made in sanskrit. the movie follows the life and times of sankara - the founder of the non-duality (advaita) school of indian philosophy.
2559,youth without youth,"a love story wrapped in a mystery. set in world war ii europe, a professor is changed by a cataclysmic event and explores the mysteries of life."
2560,the man who knew infinity,"the story of the life and academic career of the pioneer indian mathematician, srinivasa ramanujan, and his friendship with his mentor, professor g.h. hardy."
2561,ek phool char kaante,"to wed his sweetheart, a man must try and prove himself to her eccentric paternal uncles."
2564,bahuparaak,"manas, mani and mauni are at a critical stage in their lives wherein manas is caught in a love triangle, mani is on his way to become a crime boss and mauni resorts to corruption for political gains."
2566,shankar guru,the plot is about 2 separated brothers and their adventures to save their family from their father's vicious friends.
2567,the plan,"the plan - youth centric, high energy, prison break, suspense thriller, social and political film treated on world cinema treatment. the film is portrayed on a canvas of a prison amidst of ..."
2569,bedara kannappa,a hunter tries to prove his extreme devotion to lord shiva by removing both of his eyes.
2570,a: film by upendra,an unusual love story between a film director and an actress narrated through multiple flashbacks within flashbacks and reverse screenplay. the film deals with the dark truths of cinema like the casting couch.
2572,ulidavaru kandanthe,"a journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it."
2579,devatha manushya,the story revolves around krishna who is falsely accused of stealing his boss s valuables. accused of that and court sending him for long imprisonment.krishna plans to avenge his boss will he able to do so or forgives.?
2581,upendra,"this is a psychological thriller movie about a man who calls himself as ""naanu"" (me). it explores the human needs and greeds in the form of a metaphorical comparison to the three female characters in the movie."
2582,bettada jeeva,human relations and the interaction between human beings and nature.
2584,nagara haavu,"this is the tale of an angry young man with flavours of teacher-student relationship, the stubbornness of ramachari(protagonist) and his attempts at having a romantic relationship."
2586,om,"satya, the son of a pious priest turns into a rowdy and enters into the underworld for the sake of love."
2588,samayada gombe,the plot summarizes the helplessness of a human being with relation to circumstances that surround him. this particular plot revolves around a boy who first runs away from his house only to...
2589,koormavatara,"anand rao, an aged govt. employee resembling gandhi is forced to play the role of gandhi in an upcoming serial. though it brings him fame and money, his mental peace and morality is ..."
2594,rangitaranga,"mysterious events begin to unfold after a reclusive novelist and his wife move back to her ancestral village, followed by a journalist."
2596,mungaru male 2,"""mungaru male 2"" is the sequel to 2006 blockbuster ""mungaru male"". this romantic movie features golden star ganesh and crazy star v.ravichandran for the first time together along with ..."
2597,beru,an attempt to give a wake-up call to raise the consciousness of society about many such issues.
2603,amrutha varshini,the movie shows us what is going on in ramesh's mind. he falls in love with suhasini who is already married to sharath babu. their journey in life with all the ups and downs is depicted in the film.
2604,rama rama re,"it is a simple story of a convict on death row, who escapes from prison and accidentally ends up with a veteran who is called upon by the authorities to teach the process of hanging a convict to the new staff."
2608,prema geema jane do,prema geema jaane do is a soft romantic comedy. the movie is about the protagonist setting up a journey to a new place and meeting new people.why he hates love and what is in his past forms the main crux of the story.
2609,kiragoorina gayyaligalu,the movie depicts the indomitable feminine spirit in all its grandeur. most importantly the role of women in countering the evils of society on a broad canvas of agrarian india.
2610,godhi banna sadharana mykattu,"the film is about venkob rao (anant nag), a middle class simpleton ailing with alzheimer's, who goes missing. his son, shiva (rakshit shetty) is a career driven person, who is forced to ..."
2616,bandhana,a doctor falls in love with his student.
2620,jigar thanda,"an aspiring director targets a ruthless gangster for making a violent gangster film. his discreet attempts to research the gangster fail miserably. finally when he gets caught snooping, the tables are turned on him."
2621,prithvi,prithvi kumar is an young ias officer who works as district commissioner for bellary district and whose honesty clashes with the illegal gani-dhanigalu (mining lords) and the corrupt politicians in the highest seats of power in karanataka.
2622,bhakta kanakadasa,"the spiritual journey of kanakadasa, a poet and a philosopher belonging to the dasa sect during the 16th century when the stone idol of lord krishna turns around as he's being punished for wanting to see the lord's statue in udupi."
2623,ouija: game never ends,the happy go lucky girls working as software professionals start a short film to pursue their dreams of film making. everything goes well apart from the theme of the film they chosen.
2624,satya harishchandra,this movie is based on the great poet raghavanka's 'harishchandra kavya'. satya harishchandra is an epic based on the mythological king raja harishchandra who was renowned for upholding ...
2625,lucia,"a man suffering from insomnia is tricked into buying a drug, lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality."
2631,sampathige saval,the plot showcases the tyranny of the landlord and the protagonist's protest against it.
2637,alegalu,"seeking divine intervention, in a bid to solve their problems, two nine year old boys, get lost in the sea in a small dinghy."
2639,style king,"karthik and kashi look alike, but karthik aspires to be a sub-inspector while kashi is a criminal mastermind. what happens when they end up being in the same city with a bag of stolen cocaine playing games in their nearly-perfect lives?"
2644,chomana dudi,"choma is an untouchable bonded laborer in a village who is working along with his family for a landlord, as he belongs to a backward class.[2] due to his social status, he is not allowed to till his own land, something that he desires."
2645,krishna leela,leela actress depressed with her father and on other hand krishna actor suffering from daily tensions accidentally get connected on mobile lot of things get messed up and due to this ...
2646,bangarada manushya,rajeeva comes to the village to visit his sister only to find that she's in financial trouble and has lost her husband. he decides to stay and help her out.
2647,forest,a son after his mother's death builds a forest on his own after a saint shows him the right place for digging up a well for watering trees.
2648,drishya,"desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
2649,thithi,"in a remote village in south india, three generations of sons react to the death of century gowda, their grandfather, a 101-year-old man. the three story lines intertwine before converging ..."
2651,kendasampige,"when a love story goes awry, two young lovers are forced to take to the road with the police hot on their heels. they escape across karnataka in a roller-coaster ride that is at once enthralling, exasperating and nail-biting."
2652,uppi 2,"person called ""neenu"" (upendra) lives his life without thinking of future as well as past. he believes that is the only way to get everything including khushi (christina). khushi means ..."
2656,sri krishna deva raya,"story of the emperor of the vijayanagara empire, lord krishnadevaraya who presided over the empire at its zenith."
2662,vascodigama,lecturer who will try to show the strengths and flaws of indian education system.
2664,kanasembo kudureyaneri,"irya, a gravedigger, sees siddhas in his dreams before someone in the village dies. his faith is tested when he sees a siddha in a dream and no one dies."
2665,maathaad maathaadu mallige,"how a villager hoovaiah, takes on an mnc and corrupt politicians who try to misguide villagers to acquire a village for mining?"
2666,december 1,a poor family is chosen to receive the state's chief minister for dinner and a short stay.everything is expected to go fine but there are some unexpected surprises.
2668,sakshatkara,"the story revolves around the dangers of superstition, particularly when it concerns marriage and how unscrupulous elements in society could manipulate these beliefs to their benefit and lead to tragic consequences."
2674,naanu nanna kanasu,"it is a story of intricacies of delicate relationships. the most predominant relationship focused in the is the father and a girl child. the story starts by prakash rai telling ramesh, a ..."
2675,daari tappida maga,the story is about 2 lost brothers who have chosen their own ways of livelihood and what happens when they both meet.
2679,paduvarahalli pandavaru,a clash between the village of zamindar and five men.
2681,amrutha ghalige,"this movie deals with the cause and consequences of teenage pregnancy. the heroine (padmavasanthi), hailing from a poor background, falls in love with an affluent young man (ramakrishna). ..."
2682,aatagara,10 strangers set off to a strange land. what happens there changes their lives forever. aatagara is an edge-of-the-seat multi-starrer that is unique and never seen before in the indian cinema.
2684,mungaru male,"preetam falls in love at first sight with nandini. the sweet romance set in the monsoons, boosted by too good songs and music."
2689,upasane,story of a young girls quest for becoming a good singer.
2693,bhakta prahlada,"prahlada is a devotee of lord vishnu unlike his father who is an atheist. with admonitions along his way, he must change the way his father thinks."
2695,bharath stores,govinda shetty doesn't accept globalization which brought the countries nearer. because even he was a part when india also accepted these which resulting in the gradual change in the lifestyle by popping up malls and marts.
2699,jagajyothi basaveshwara,"the life of basava, a philosopher and social reformer from karnataka who lived in the 12th century a.d."
2704,kaanchaana,"three reality show hosts get into financial trouble with a local dangerous money launderer. to solve their money problem, they plot to rob a bank."
2709,bhoomigeetha: song of the earth,a tribal community faces cultural and ecological displacement when a dam is constructed in their native land.
2710,bara,political rivalry between government ministers in a famine ridden area of india.
2715,bayalu dari,"chandra, a rich estate owner's daughter falls in love with gopu, a confirmed 'romeo'. gopu, in order to erase his bad image joins the army. he is believed killed in a plane crash. chandra ..."
2721,u turn,mysterious events occur around a double road flyover in bangalore.
